"","x"
"1",0.745412770694833
"2",0.536527061828804
"3",0.29938067184401
"4",0.273894850267806
"5",0.280941985517492
"6",0.633243366471642
"7",0.705513183143883
"8",0.528764779969232
"9",0.626541448360658
"10",0.50275299773126
"11",0.629727621072252
"12",0.30409263000055
"13",0.100800540046831
"14",0.0700101356209465
"15",0.259981210947243
"16",0.253093015277302
"17",0.507114882729108
"18",0.117199635610214
"19",0.722417965185081
"20",0.747250480864604
"21",0.754161530125125
"22",0.69042543972298
"23",0.516649474314718
"24",0.664242611750211
"25",0.682337026323898
"26",0.391798055767241
"27",0.510732900793176
"28",0.290733190271869
"29",0.18697900685934
"30",0.601411604609664
"31",0.0555764866515672
"32",0.548217242183851
"33",0.569771015047559
"34",0.880259068938296
"35",0.881178723627467
"36",0.751059307322255
"37",0.775074586728067
"38",0.790707383349421
"39",0.780268058310959
"40",0.514440524525326
"41",0.721146964126876
"42",0.239785521671588
"43",0.463951901700322
"44",0.064559478630013
"45",0.630396544462031
"46",0.307836270621134
"47",0.466030740775659
"48",0.0768039314875025
"49",0.794374131024206
"50",0.186527584733823
"51",0.624787827167521
"52",0.728522118136576
"53",0.000220831820894385
"54",0.116322153736104
"55",0.288346941734598
"56",0.560376072584601
"57",0.0203146870716979
"58",0.807317487289626
"59",0.696921369344549
"60",0.470066688556568
"61",0.27452390929524
"62",0.749173467090114
"63",0.634386069400076
"64",0.136134827245387
"65",0.463006177698235
"66",0.431003801466739
"67",0.63895380669547
"68",0.715204017471795
"69",0.0401003456311405
"70",-0.00141562965026543
"71",0.0280838378529895
"72",0.191492884543315
"73",0.788325095621864
"74",0.805027930385597
"75",0.410843363415912
"76",0.398016720341618
"77",0.399135019416464
"78",0.30180866038872
"79",0.48511937585275
"80",0.0372390651499482
"81",0.514088039065665
"82",0.0959655798610115
"83",0.05118957859411
"84",0.204409552010111
"85",0.209112764961755
"86",0.715125470063218
"87",0.513871247150344
"88",0.386760895228761
"89",0.209939073147483
"90",0.542419892855727
"91",0.772107283950693
"92",0.396840132171701
"93",0.293818600311989
"94",-0.00351536671536334
"95",0.22498070227519
"96",0.698994897883391
"97",0.203089229596649
"98",0.360842834775549
"99",0.696788513922304
"100",0.314135797338284
"101",0.0473481419916055
"102",0.00139885893418301
"103",0.000631909888394899
"104",0.00687095062152765
"105",-0.021736567972154
"106",0.0515919289222383
"107",0.641594213420387
"108",0.00141440960942196
"109",0.00367678134732752
"110",0.00119968015087646
"111",0.017703136379731
"112",0.0201258245217516
"113",0.00488983295239065
"114",0.109054220550612
"115",0.00152036750381879
"116",0.692584660493571
"117",0.160360241957796
"118",0.60055406976045
"119",0.475241373831725
"120",0.600795311004927
"121",0.0408811558199136
"122",0.491305996769274
"123",0.434684863815149
"124",0.0124091486962885
"125",0.356265785358624
"126",0.354625807715454
"127",0.191587006165135
"128",0.235278886822763
"129",-0.015426853598917
"130",0.274589359037454
"131",0.263264672256834
"132",0.385279384790605
"133",0.395655522223188
"134",0.247810837014817
"135",0.250328887665958
"136",0.335590298720756
"137",0.434299295712589
"138",0.332095318751066
"139",0.368202808610556
"140",0.352491217973543
"141",0.207579181748419
"142",0.116633400998547
"143",-0.0693263033766836
"144",0.498317115291139
"145",0.0691762167670397
"146",0.224691482685133
"147",0.428131730819168
"148",0.296462715483352
"149",0.0635285541114795
"150",0.351916535560776
"151",0.350142537344024
"152",0.296539361581946
"153",-0.0269836030759552
"154",0.0354339332348598
"155",0.0602884301576713
"156",0.218402424814064
"157",0.426471619538676
"158",0.229767731833049
"159",0.117622393315154
"160",0.407431243701911
"161",0.309817564447521
"162",0.382334181861551
"163",0.296165637939856
"164",0.380134426119025
"165",0.023030021849858
"166",0.00562557152116339
"167",0.023479878346315
"168",0.0577908761033166
"169",0.473192869798882
"170",0.213385450254171
"171",0.283527785978056
"172",0.339130347821119
"173",0.104193681430586
"174",0.76615438927572
"175",0.108112654679114
"176",-0.0147796302678915
"177",0.209161013854621
"178",0.36201599195668
"179",-0.00611842295839993
"180",-0.00459947540941785
"181",0.245572986796572
"182",0.290037345087729
"183",0.443833635140967
"184",0.477067483780749
"185",0.322952708566867
"186",0.0178388442316566
"187",0.0396419567845214
"188",0.615877612479643
"189",-0.0010503878576158
"190",0.659316429604849
"191",0.0452994980225334
"192",0.0459896928938163
"193",0.641396468648576
"194",0.692367159082245
"195",0.702353847276623
"196",0.00125779705833817
"197",0.000891541614030933
"198",0.00230949263509006
"199",0.00408056383566835
"200",0.513189712776829
"201",0.571335184398764
"202",0.434866740544166
"203",0.553704606516803
"204",0.0169168928477446
"205",0.476464792207416
"206",-0.0570355533394205
"207",0.0356255699925544
"208",0.370015517688756
"209",0.298834712366905
"210",0.277518193242122
"211",0.0564259278706069
"212",0.119524473254705
"213",0.170579968453153
"214",0.290216858084666
"215",0.343044050119589
"216",0.175164176419094
"217",0.259798465014273
"218",0.142245709320367
"219",0.473572772860072
"220",0.301761441251177
"221",0.131398842576944
"222",0.123559116372725
"223",0.361278009553667
"224",0.396039442055104
"225",0.376187917223559
"226",0.17726068591688
