"","x"
"1",0.988621469923787
"2",0.986871644790765
"3",0.962934987783802
"4",0.959087687343952
"5",0.835627209014123
"6",0.940696009798264
"7",0.992287213442555
"8",0.795542609925081
"9",0.986781159809014
"10",0.92877468839453
"11",0.898125211177156
"12",0.975720928204239
"13",0.944936515889046
"14",0.327840076003631
"15",0.936349643133351
"16",0.675980037733132
"17",0.511692940462519
"18",0.998857502142678
"19",0.999008722112566
"20",0.992561331535912
"21",0.99673146818173
"22",0.979029035312705
"23",0.983016590007891
"24",0.95972273002332
"25",0.937429300713232
"26",0.52799644177351
"27",0.975935698476546
"28",0.935809640781445
"29",0.953583090629725
"30",0.870050706595525
"31",0.972925908508278
"32",0.97421969875544
"33",0.979942132967986
"34",0.999327648369786
"35",0.99929327722614
"36",0.998842249803167
"37",0.998579616142411
"38",0.99299788056889
"39",0.995394866938248
"40",0.891951842109611
"41",0.875272579897977
"42",0.524754946763439
"43",0.706265000531863
"44",0.383464176798654
"45",0.830036743166719
"46",0.458166395887669
"47",0.719583789439613
"48",-0.0446718219688507
"49",0.985071735047698
"50",0.978591232725066
"51",0.926744938345004
"52",0.856857421046676
"53",0.940556174833872
"54",0.662781523019362
"55",0.914759026034313
"56",0.834161898406511
"57",0.559937038832451
"58",0.99369285626857
"59",0.984314583881055
"60",0.906059966545764
"61",0.504700110762159
"62",0.956224293842831
"63",0.886386286888036
"64",0.398254448639492
"65",0.688909688459277
"66",0.56522854299686
"67",0.78559590474507
"68",0.90093552913378
"69",0.133888447380958
"70",-0.0720214134198485
"71",0.280083931348842
"72",0.465402540958731
"73",0.98534793327814
"74",0.985785301296666
"75",0.73647109129176
"76",0.555650855752423
"77",0.594863710130662
"78",0.817129325117734
"79",0.995594199565934
"80",0.275493427713856
"81",0.994695711848043
"82",0.794923337550734
"83",0.136447863596447
"84",0.969698615668201
"85",0.81314888188357
"86",0.848554220878477
"87",0.826830118141374
"88",0.49573984256466
"89",0.203603152615578
"90",0.884813297331994
"91",0.992247169280971
"92",0.961560188576449
"93",0.729312551077344
"94",0.166107856467605
"95",0.686941006327241
"96",0.997895810891135
"97",0.986896553507687
"98",0.96167481701879
"99",0.998633284981418
"100",0.978796726568375
"101",0.964479521051048
"102",0.876902554198516
"103",0.880029344210303
"104",0.795978281006947
"105",0.147474803919044
"106",0.887338314610055
"107",0.951388383697866
"108",0.0688258706984292
"109",0.905101505781833
"110",0.891552644667499
"111",0.41861929305907
"112",0.18585378840925
"113",0.0447105724151544
"114",0.979542323356586
"115",0.645500372675417
"116",0.997757235133837
"117",0.528323748878988
"118",0.995445298445458
"119",0.969259494805913
"120",0.994494622099391
"121",0.454835651678939
"122",0.96855002108727
"123",0.859086136629041
"124",0.140574338810545
"125",0.884053782246871
"126",0.958632621891537
"127",0.607947536794715
"128",0.531418775460253
"129",0.344799848803708
"130",0.987582172700249
"131",0.9902878360214
"132",0.996729082016757
"133",0.997057883873384
"134",0.990754386753644
"135",0.99268440383863
"136",0.852675921919599
"137",0.811961803118896
"138",0.960758307605892
"139",0.989840955401024
"140",0.97999682362497
"141",0.956046067048068
"142",0.823009926746097
"143",0.667185401483833
"144",0.580858524226012
"145",0.551042933638712
"146",0.853343876078793
"147",0.980242155614217
"148",0.998420609453482
"149",-0.203647912579933
"150",0.361443316610449
"151",0.679017020388086
"152",0.507354747943979
"153",-0.0318927292690709
"154",0.842579856056013
"155",0.122966754639042
"156",0.521845479753865
"157",0.998859738079595
"158",0.998850828232675
"159",0.999002815209606
"160",0.997935767184237
"161",0.852943487407921
"162",0.998832896253393
"163",0.919942953277766
"164",0.999793604498298
"165",0.423837936612536
"166",0.139902393168998
"167",0.317965280378757
"168",0.205653224622607
"169",0.736716505101568
"170",0.850075146488427
"171",0.734114852306458
"172",0.949266700789424
"173",0.909266777538545
"174",0.991746329157927
"175",0.955605679084549
"176",0.587608901586273
"177",0.481819322386307
"178",0.627320029903185
"179",-0.52785970581039
"180",-0.102196898049166
"181",0.949999133838777
"182",0.998953941712229
"183",0.967904596529032
"184",0.974133160488917
"185",0.70967078637363
"186",0.26521252580451
"187",0.875781359092233
"188",0.981497725001071
"189",0.146716630758197
"190",0.991877723103449
"191",0.437839529818897
"192",0.749615870767974
"193",0.996926798082561
"194",0.984046988538219
"195",0.998080224668394
"196",0.128767191576343
"197",0.236376846401483
"198",0.117950430167034
"199",-0.0182852074241076
"200",0.636569972969309
"201",0.618405460488367
"202",0.82653221695581
"203",0.868472494019542
"204",0.885528537071081
"205",0.807193593738341
"206",0.995986807333022
"207",0.709299778791738
"208",0.546942050624479
"209",0.930502757235686
"210",0.874859772455802
"211",0.299116838447635
"212",0.0690120335514557
"213",0.712426925812893
"214",0.637380235144956
"215",0.792375532039355
"216",0.986969446400399
"217",0.85643027794283
"218",0.83588524903547
"219",0.982988494261796
"220",0.963959161072141
"221",0.973366578504461
"222",0.958195988417834
"223",0.974854347316054
"224",0.972158485411785
"225",0.740283382916816
"226",0.437684227647025
