"","x"
"1",0.61711122449392
"2",0.491919090666753
"3",0.245424616159589
"4",0.237971521716593
"5",0.359400809120942
"6",0.487502002303566
"7",0.714640908176071
"8",0.518702967717002
"9",0.605392207765735
"10",0.481827386804767
"11",0.491164352572896
"12",0.0105912180829901
"13",0.0483293350388703
"14",0.159227776550932
"15",-0.0188949282254647
"16",0.327557428116607
"17",0.479442292579167
"18",0.0636000086864321
"19",0.61554189531798
"20",0.627907420089089
"21",0.682419550479832
"22",0.617112619462312
"23",0.441351774461457
"24",0.562961696442072
"25",0.628931586277161
"26",0.378035290636232
"27",0.478833961740206
"28",0.270481132599423
"29",0.129820483833182
"30",0.568698030771832
"31",-0.019509267418502
"32",0.348389593951656
"33",0.367852457829649
"34",0.806262394513295
"35",0.808057872888803
"36",0.659379058874003
"37",0.673211784403872
"38",0.74529833448038
"39",0.677626437950385
"40",0.44669433449097
"41",0.673774557097438
"42",-0.0305827559942229
"43",0.363969059315124
"44",0.376673490719562
"45",0.652269461320423
"46",0.472856971672116
"47",0.202887282765014
"48",0.052769646008629
"49",0.7451782989559
"50",0.0294142000388381
"51",0.585701948356132
"52",0.662024174879651
"53",-0.00571481931947804
"54",0.0666687901353098
"55",0.0174749541917769
"56",0.528892887218161
"57",0.0414842277064421
"58",0.752113259576038
"59",0.508641959766945
"60",0.43936169448777
"61",0.28848930711389
"62",0.701853596439662
"63",0.632670747820921
"64",0.0792076555826989
"65",0.382039536683953
"66",0.39397557741362
"67",0.536424132576243
"68",0.688287196921652
"69",0.247656567779497
"70",-0.0136530289527299
"71",0.137908369901642
"72",0.528077301328021
"73",0.774750121368803
"74",0.789742424532747
"75",0.145767668348209
"76",0.269641807031356
"77",0.298706748640267
"78",0.0916558582608745
"79",0.275822939001537
"80",0.0553491740337867
"81",0.190006435060539
"82",0.0910797005210363
"83",0.0747461837453749
"84",0.190726144583655
"85",0.119845871894061
"86",0.715214626281459
"87",0.434449352563859
"88",0.360265956346134
"89",0.174064347231592
"90",0.501882746987666
"91",0.203489145463206
"92",0.11889850741943
"93",0.18024893185347
"94",-0.224530451336547
"95",0.155441532313779
"96",0.147998109409062
"97",0.0303904038340471
"98",0.157994021526834
"99",0.125048919519605
"100",0.12617205679347
"101",0.0302947511015876
"102",-0.0102216327443951
"103",-0.0174206103229197
"104",0.0202578245381947
"105",-0.00772311198627773
"106",-0.0339611347435482
"107",0.205390467412124
"108",-0.0305886925627021
"109",-0.0161577693201507
"110",-0.0463062553786207
"111",0.0823899322237484
"112",0.0154063216850209
"113",-0.0121893934841111
"114",0.107311981937553
"115",-0.00374119618919977
"116",0.157180768779806
"117",-0.573937710742155
"118",0.204604983372132
"119",0.132238051756577
"120",0.194784420249193
"121",0.0197563784544877
"122",0.138014662573153
"123",0.217619047286062
"124",-0.00862191889413277
"125",0.338809979350961
"126",0.3672346473032
"127",-0.0766579499928572
"128",0.0987314538625558
"129",-0.0894232508111026
"130",-0.0594584027078302
"131",-0.0615805562913123
"132",0.130432498397805
"133",0.128437705224221
"134",-0.0158655009153441
"135",-0.0104363207340872
"136",-0.0535727542985509
"137",-0.276696788479855
"138",-0.280289695805364
"139",-0.258506831085548
"140",-0.347016745656288
"141",-0.176651693627105
"142",-0.300849183981472
"143",-0.424207238115967
"144",0.492987296827217
"145",-0.0749953678179991
"146",-0.0435488320862716
"147",0.184863580512052
"148",0.148653224648305
"149",-0.0437480188026227
"150",0.200268279063502
"151",0.313455202907474
"152",0.21533661453449
"153",-0.0482551182823099
"154",-0.27945775230364
"155",-0.0704647971330417
"156",-0.0781712472224814
"157",0.190299268918541
"158",0.0904339575428114
"159",-0.0348025426309109
"160",0.167015039978601
"161",0.000604734723768874
"162",0.130032733149191
"163",0.199914557957059
"164",0.125241617170109
"165",-0.00364141648043281
"166",0.0136157703280332
"167",0.117647552679667
"168",0.112980745964751
"169",0.241186051141172
"170",0.246931870660312
"171",0.3388019939876
"172",0.277096758783827
"173",0.0975911840714739
"174",0.724714580124441
"175",-0.0196735154795356
"176",-0.195217958733101
"177",0.16426863529326
"178",0.200226068776655
"179",-0.306061150376193
"180",-0.0577364126177367
"181",-0.159788586481027
"182",-0.0702748787335323
"183",0.194007781175103
"184",0.234182338165901
"185",0.115424059541876
"186",0.0776475569722466
"187",-0.0257022130178604
"188",0.17488738055817
"189",-0.0597355630358356
"190",0.151451499116671
"191",0.00140968729648538
"192",-0.154094358439063
"193",0.151175668295918
"194",0.135323462907636
"195",0.158398565400586
"196",-0.00565498433044098
"197",-0.00780670738499367
"198",0.020944692548147
"199",-0.00385751683237667
"200",0.419161877287706
"201",0.474319595595318
"202",0.449813423480214
"203",0.310449671581932
"204",-0.186065964073747
"205",-0.357263565358617
"206",-0.506876020519107
"207",0.104680722478959
"208",0.139838200267866
"209",0.00485363662565674
"210",0.170717979014615
"211",0.164688705382537
"212",-0.0104011170705651
"213",0.0570717763198541
"214",0.24468432518441
"215",0.22610974474916
"216",0.0936425000192772
"217",0.0532089068036624
"218",0.0285604072406594
"219",0.322903979832711
"220",0.28692111463453
"221",0.0625080076660842
"222",0.0469559304285191
"223",0.138591457897183
"224",0.132137510103775
"225",-0.0162671519303768
"226",0.0988899134805554
